Episode,Loss
1,-6.453675270080566
2,-5.186981201171875
3,-7.65496826171875
4,24.081634521484375
5,5.403110504150391
6,-10.918277740478516
7,0.564910888671875
8,-4.947906494140625
9,-9.295780181884766
10,-0.5049667358398438
11,-5.570352554321289
12,-15.128128051757812
13,-0.5619430541992188
14,-4.906644821166992
15,0.102325439453125
16,8.553543090820312
17,-9.06060791015625
18,-10.211555480957031
19,1.3779144287109375
20,2.1949119567871094
21,7.458869934082031
22,29.485877990722656
23,-17.911575317382812
24,-11.656440734863281
25,-36.82806396484375
26,-4.7784881591796875
27,2.400909423828125
28,-18.409873962402344
29,-25.345699310302734
30,-45.66032028198242
31,-26.716896057128906
32,-40.16117858886719
33,10.251968383789062
34,-16.815696716308594
35,17.203689575195312
36,-5.5204620361328125
37,-29.78203582763672
38,-75.07896423339844
39,-62.019195556640625
40,-20.19049072265625
41,-9.35939884185791
42,-18.626800537109375
43,30.533966064453125
44,5.475921630859375
45,15.126640319824219
46,-12.249553680419922
47,19.98808479309082
48,-82.88451385498047
49,6.157524108886719
50,-20.85748291015625
51,-59.48745346069336
52,-0.4923553466796875
53,-11.104305267333984
54,12.283615112304688
55,-43.749267578125
56,-0.9263458251953125
57,-122.95903015136719
58,-13.399242401123047
59,-22.18199920654297
60,-28.17259407043457
61,-4.815677642822266
62,-43.11543273925781
63,42.12720489501953
64,74.10427856445312
65,37.04437255859375
66,22.028148651123047
67,10.734489440917969
68,-27.609115600585938
69,1.5537195205688477
70,-29.757503509521484
71,-37.82526779174805
72,-37.14487838745117
73,8.62939453125
74,36.616241455078125
75,-63.013519287109375
76,-37.068363189697266
77,-183.37677001953125
78,52.34343719482422
79,-106.23893737792969
80,-99.29706573486328
81,97.59822082519531
82,-54.47557067871094
83,-78.77684020996094
84,-79.09526062011719
85,-86.15241241455078
86,-127.73681640625
87,21.167163848876953
88,-27.781352996826172
89,-138.40330505371094
90,-25.2568416595459
91,8.806245803833008
92,-18.194700241088867
93,-46.850643157958984
94,5.853008270263672
95,-24.18167495727539
96,-84.63687133789062
97,-52.9373779296875
98,-65.9068603515625
99,-78.36935424804688
100,-66.06961059570312
101,-13.28167724609375
102,18.755149841308594
103,-81.34334564208984
104,-100.7092056274414
105,145.70352172851562
106,-203.96090698242188
107,-121.28398895263672
108,-54.14164733886719
109,4.445049285888672
110,-132.24583435058594
111,-120.76058197021484
112,-54.51110076904297
113,-129.60546875
114,-78.79043579101562
115,54.09532928466797
116,63.2835807800293
117,-47.7763671875
118,13.501541137695312
119,78.44673919677734
120,-104.10182189941406
121,-101.6484375
122,-166.1845245361328
123,-138.39572143554688
124,-122.8714599609375
125,-7.238582611083984
126,-255.63333129882812
127,94.69416809082031
128,2.153911590576172
129,162.0019989013672
130,-22.292953491210938
131,50.34819030761719
132,47.94522476196289
133,-33.42509460449219
134,-31.620960235595703
135,94.01187133789062
136,6.003630638122559
137,30.68073081970215
138,85.52217864990234
139,-82.51810455322266
140,-37.60218811035156
141,-91.92811584472656
142,76.90322875976562
143,-112.03050231933594
144,113.95268249511719
145,109.04083251953125
146,-168.24588012695312
147,66.27645111083984
148,60.62230682373047
149,3.8501577377319336
150,-35.99980926513672
151,109.11245727539062
152,-8.952383995056152
153,-56.722267150878906
154,-23.58238410949707
155,47.54480743408203
156,104.90619659423828
157,91.79034423828125
158,11.636404037475586
159,55.16402053833008
160,161.85752868652344
