Episode,Loss
0,1103.9039306640625
1,678.9444580078125
2,481.82977294921875
3,69.45977020263672
4,412.4784851074219
5,112.54942321777344
6,951.5731811523438
7,835.0983276367188
8,300.2124328613281
9,578.6854248046875
10,69.7772216796875
11,233.0090789794922
12,993.664306640625
13,431.473876953125
14,969.6815185546875
15,912.2120361328125
16,688.4951171875
17,1159.028076171875
18,505.0203552246094
19,1007.121826171875
20,805.6206665039062
21,1097.5638427734375
22,1858.9044189453125
23,2263.453125
24,1040.26123046875
25,455.8525390625
26,374.9224853515625
27,1219.3861083984375
28,1619.767578125
29,133.43783569335938
30,1318.6328125
31,449.44708251953125
32,396.8140869140625
33,338.07598876953125
34,496.3046875
35,504.1278076171875
36,617.738525390625
37,757.3219604492188
38,1544.5782470703125
39,878.4266967773438
40,676.2442626953125
41,770.1443481445312
42,2172.181640625
43,1668.886474609375
44,216.31219482421875
45,1864.34765625
46,403.3568115234375
47,1875.65625
48,1756.990478515625
49,633.8731689453125
50,810.6780395507812
51,1402.0439453125
52,556.40966796875
53,448.2142028808594
54,1310.0645751953125
55,1843.1700439453125
56,698.6167602539062
57,550.69482421875
58,186.3624267578125
59,631.3458862304688
60,314.76092529296875
61,894.6900024414062
62,901.2678833007812
63,239.95816040039062
64,179.74468994140625
65,112.58697509765625
66,169.19683837890625
67,144.92324829101562
68,93.03910827636719
69,314.56365966796875
70,381.82696533203125
71,207.12066650390625
72,352.8487854003906
73,114.95944213867188
74,955.9437866210938
75,452.2955627441406
76,1057.8175048828125
77,356.73565673828125
78,953.3938598632812
79,364.9339904785156
80,753.343994140625
81,275.3257141113281
82,223.27450561523438
83,1037.40869140625
84,461.0726318359375
85,499.05450439453125
86,185.6383514404297
87,167.0289306640625
88,193.80064392089844
89,352.71038818359375
90,113.29449462890625
91,359.6372375488281
92,1560.46826171875
93,714.4562377929688
94,277.20489501953125
95,4081.946044921875
96,513.649169921875
97,2492.76513671875
98,2518.4560546875
99,502.0718078613281
100,361.61944580078125
101,8730.9326171875
102,115.374267578125
103,83.685791015625
104,312.6532897949219
105,143.11355590820312
106,179.187744140625
107,370.57232666015625
108,8360.173828125
109,153.1133270263672
110,521.3934326171875
111,757.55224609375
112,138.3037567138672
113,22073.583984375
114,174.75331115722656
115,292.9837646484375
116,659.9086303710938
117,799.0404052734375
118,255.3509521484375
119,266.0610046386719
120,210.46630859375
121,973.369873046875
122,421.54266357421875
123,356.9173583984375
124,553.6494750976562
125,247.66310119628906
126,679.5593872070312
127,380.00653076171875
128,332.0199279785156
129,1888.340087890625
130,2189.251708984375
131,995.6870727539062
132,178.81588745117188
133,2936.531982421875
134,44.86463165283203
135,508.473388671875
136,224.79283142089844
137,495.9068603515625
138,620.640625
139,1125.481201171875
140,185.95346069335938
141,433.4742736816406
142,603.5928955078125
143,23043.396484375
144,852.6561279296875
145,1465.075927734375
146,1749.0545654296875
147,118.25514221191406
148,427.16937255859375
149,274.0293273925781
150,258.119384765625
151,355.2753601074219
152,166.96432495117188
153,1081.520263671875
154,321.44989013671875
155,1708.5501708984375
156,177.54156494140625
157,886.41015625
158,1063.94970703125
159,875.49072265625
160,430.541259765625
161,1577.8321533203125
162,2390.396728515625
163,446.1145324707031
164,1410.46923828125
165,496.3270263671875
166,170.76004028320312
167,5163.3291015625
168,584.0164184570312
169,897.9000854492188
170,1414.4434814453125
171,422.2394104003906
172,134.66671752929688
173,10815.9716796875
174,2997.34912109375
175,1224.5902099609375
176,1956.789794921875
177,663.3811645507812
178,475.61669921875
179,938.13427734375
180,702.1253051757812
181,321.5576477050781
182,2706.46435546875
183,369.5085144042969
184,340.97906494140625
185,4227.83203125
186,752.868896484375
187,312.07794189453125
188,401.592529296875
189,5525.36767578125
190,143.2137908935547
191,1594.6375732421875
192,449.6719665527344
193,385.4217224121094
194,328.83831787109375
195,1247.84619140625
196,2263.47119140625
197,2559.8994140625
198,1704.3101806640625
199,828.4994506835938
