State: (1, 16, 'up'), Optimal Action: forward

State: (1, 16, 'down'), Optimal Value: 151.817852
State: (1, 16, 'down'), Optimal Action: left

State: (1, 16, 'left'), Optimal Value: 151.817852
State: (1, 16, 'left'), Optimal Action: right

State: (1, 16, 'right'), Optimal Value: 169.797613
State: (1, 16, 'right'), Optimal Action: forward

State: (2, 16, 'up'), Optimal Value: 211.972462
State: (2, 16, 'up'), Optimal Action: left

State: (2, 16, 'down'), Optimal Value: 211.972462
State: (2, 16, 'down'), Optimal Action: right

State: (2, 16, 'left'), Optimal Value: 236.636068
State: (2, 16, 'left'), Optimal Action: forward

State: (2, 16, 'right'), Optimal Value: 189.775217
State: (2, 16, 'right'), Optimal Action: right

State: (3, 16, 'up'), Optimal Value: 189.775217
State: (3, 16, 'up'), Optimal Action: left

State: (3, 16, 'down'), Optimal Value: 189.775217
State: (3, 16, 'down'), Optimal Action: right

State: (3, 16, 'left'), Optimal Value: 211.972462
State: (3, 16, 'left'), Optimal Action: forward

State: (3, 16, 'right'), Optimal Value: 169.797613
State: (3, 16, 'right'), Optimal Action: right

State: (4, 16, 'up'), Optimal Value: 169.797613
State: (4, 16, 'up'), Optimal Action: left

State: (4, 16, 'down'), Optimal Value: 169.797613
State: (4, 16, 'down'), Optimal Action: right

State: (4, 16, 'left'), Optimal Value: 189.775217
State: (4, 16, 'left'), Optimal Action: forward

State: (4, 16, 'right'), Optimal Value: 151.817852
State: (4, 16, 'right'), Optimal Action: right

State: (5, 16, 'up'), Optimal Value: 151.817852
State: (5, 16, 'up'), Optimal Action: left

State: (5, 16, 'down'), Optimal Value: 151.817852
State: (5, 16, 'down'), Optimal Action: right

State: (5, 16, 'left'), Optimal Value: 169.797613
State: (5, 16, 'left'), Optimal Action: forward

State: (5, 16, 'right'), Optimal Value: 135.636068
State: (5, 16, 'right'), Optimal Action: right

State: (6, 16, 'up'), Optimal Value: 135.636068
State: (6, 16, 'up'), Optimal Action: left

State: (6, 16, 'down'), Optimal Value: 135.636068
State: (6, 16, 'down'), Optimal Action: right

State: (6, 16, 'left'), Optimal Value: 151.817852
State: (6, 16, 'left'), Optimal Action: forward

State: (6, 16, 'right'), Optimal Value: 121.072462
State: (6, 16, 'right'), Optimal Action: right

State: (7, 16, 'up'), Optimal Value: 121.072462
State: (7, 16, 'up'), Optimal Action: left

State: (7, 16, 'down'), Optimal Value: 121.072462
State: (7, 16, 'down'), Optimal Action: right

State: (7, 16, 'left'), Optimal Value: 135.636068
State: (7, 16, 'left'), Optimal Action: forward

State: (7, 16, 'right'), Optimal Value: 107.965217
State: (7, 16, 'right'), Optimal Action: right

State: (8, 16, 'up'), Optimal Value: 107.965217
State: (8, 16, 'up'), Optimal Action: left

State: (8, 16, 'down'), Optimal Value: 107.965217
State: (8, 16, 'down'), Optimal Action: right

State: (8, 16, 'left'), Optimal Value: 121.072462
State: (8, 16, 'left'), Optimal Action: forward

State: (8, 16, 'right'), Optimal Value: 96.168613
State: (8, 16, 'right'), Optimal Action: right

State: (9, 16, 'up'), Optimal Value: 96.168613
State: (9, 16, 'up'), Optimal Action: left

State: (9, 16, 'down'), Optimal Value: 96.168613
State: (9, 16, 'down'), Optimal Action: right

State: (9, 16, 'left'), Optimal Value: 107.965217
State: (9, 16, 'left'), Optimal Action: forward

State: (9, 16, 'right'), Optimal Value: 85.551752
State: (9, 16, 'right'), Optimal Action: right

State: (10, 16, 'up'), Optimal Value: 85.551752
State: (10, 16, 'up'), Optimal Action: left

State: (10, 16, 'down'), Optimal Value: 85.551752
State: (10, 16, 'down'), Optimal Action: right

State: (10, 16, 'left'), Optimal Value: 96.168613
State: (10, 16, 'left'), Optimal Action: forward

State: (10, 16, 'right'), Optimal Value: 75.996578
State: (10, 16, 'right'), Optimal Action: right

State: (11, 16, 'up'), Optimal Value: 75.996578
State: (11, 16, 'up'), Optimal Action: left

State: (11, 16, 'down'), Optimal Value: 75.996578
State: (11, 16, 'down'), Optimal Action: right

State: (11, 16, 'left'), Optimal Value: 85.551752
State: (11, 16, 'left'), Optimal Action: forward

State: (11, 16, 'right'), Optimal Value: 67.396921
State: (11, 16, 'right'), Optimal Action: right

State: (12, 16, 'up'), Optimal Value: 67.396921
State: (12, 16, 'up'), Optimal Action: left

State: (12, 16, 'down'), Optimal Value: 67.396921
State: (12, 16, 'down'), Optimal Action: right

State: (12, 16, 'left'), Optimal Value: 75.996578
State: (12, 16, 'left'), Optimal Action: forward

State: (12, 16, 'right'), Optimal Value: 59.657230
State: (12, 16, 'right'), Optimal Action: right

State: (13, 16, 'up'), Optimal Value: 59.657230
State: (13, 16, 'up'), Optimal Action: left

State: (13, 16, 'down'), Optimal Value: 59.657230
State: (13, 16, 'down'), Optimal Action: right

State: (13, 16, 'left'), Optimal Value: 67.396921
State: (13, 16, 'left'), Optimal Action: forward

State: (13, 16, 'right'), Optimal Value: 52.691425
State: (13, 16, 'right'), Optimal Action: right

State: (14, 16, 'up'), Optimal Value: 52.691425
State: (14, 16, 'up'), Optimal Action: left

State: (14, 16, 'down'), Optimal Value: 52.691425
State: (14, 16, 'down'), Optimal Action: right

State: (14, 16, 'left'), Optimal Value: 59.657230
State: (14, 16, 'left'), Optimal Action: forward

State: (14, 16, 'right'), Optimal Value: 46.422283
State: (14, 16, 'right'), Optimal Action: right

State: (15, 16, 'up'), Optimal Value: 46.422283
State: (15, 16, 'up'), Optimal Action: left

State: (15, 16, 'down'), Optimal Value: 46.422283
State: (15, 16, 'down'), Optimal Action: right

State: (15, 16, 'left'), Optimal Value: 52.691425
State: (15, 16, 'left'), Optimal Action: forward

State: (15, 16, 'right'), Optimal Value: 40.780056
State: (15, 16, 'right'), Optimal Action: right

State: (16, 16, 'up'), Optimal Value: 40.780056
State: (16, 16, 'up'), Optimal Action: left

State: (16, 16, 'down'), Optimal Value: 40.780056
State: (16, 16, 'down'), Optimal Action: right

State: (16, 16, 'left'), Optimal Value: 46.422283
State: (16, 16, 'left'), Optimal Action: forward

State: (16, 16, 'right'), Optimal Value: 35.702051
State: (16, 16, 'right'), Optimal Action: right

State: (1, 2, 'up'), Optimal Value: 40.780056
State: (1, 2, 'up'), Optimal Action: right

State: (1, 2, 'down'), Optimal Value: 52.691425
State: (1, 2, 'down'), Optimal Action: forward

State: (1, 2, 'left'), Optimal Value: 46.422283
State: (1, 2, 'left'), Optimal Action: left

State: (1, 2, 'right'), Optimal Value: 46.422283
State: (1, 2, 'right'), Optimal Action: right

State: (1, 3, 'up'), Optimal Value: 46.422283
State: (1, 3, 'up'), Optimal Action: right

State: (1, 3, 'down'), Optimal Value: 59.657230
State: (1, 3, 'down'), Optimal Action: forward

State: (1, 3, 'left'), Optimal Value: 52.691425
State: (1, 3, 'left'), Optimal Action: left

State: (1, 3, 'right'), Optimal Value: 52.691425
State: (1, 3, 'right'), Optimal Action: right

State: (1, 4, 'up'), Optimal Value: 52.691425
State: (1, 4, 'up'), Optimal Action: right

State: (1, 4, 'down'), Optimal Value: 67.396921
State: (1, 4, 'down'), Optimal Action: forward

State: (1, 4, 'left'), Optimal Value: 59.657230
State: (1, 4, 'left'), Optimal Action: left

State: (1, 4, 'right'), Optimal Value: 59.657230
State: (1, 4, 'right'), Optimal Action: right

State: (1, 5, 'up'), Optimal Value: 59.657230
State: (1, 5, 'up'), Optimal Action: right

State: (1, 5, 'down'), Optimal Value: 75.996578
State: (1, 5, 'down'), Optimal Action: forward

State: (1, 5, 'left'), Optimal Value: 67.396921
State: (1, 5, 'left'), Optimal Action: left

State: (1, 5, 'right'), Optimal Value: 67.396921
State: (1, 5, 'right'), Optimal Action: right

State: (1, 6, 'up'), Optimal Value: 67.396921
State: (1, 6, 'up'), Optimal Action: right

State: (1, 6, 'down'), Optimal Value: 85.551752
State: (1, 6, 'down'), Optimal Action: forward

State: (1, 6, 'left'), Optimal Value: 75.996578
State: (1, 6, 'left'), Optimal Action: left

State: (1, 6, 'right'), Optimal Value: 75.996578
State: (1, 6, 'right'), Optimal Action: right

State: (1, 7, 'up'), Optimal Value: 75.996578
State: (1, 7, 'up'), Optimal Action: right

State: (1, 7, 'down'), Optimal Value: 96.168613
State: (1, 7, 'down'), Optimal Action: forward

State: (1, 7, 'left'), Optimal Value: 85.551752
State: (1, 7, 'left'), Optimal Action: left

State: (1, 7, 'right'), Optimal Value: 85.551752
State: (1, 7, 'right'), Optimal Action: right

State: (1, 8, 'up'), Optimal Value: 85.551752
State: (1, 8, 'up'), Optimal Action: right

State: (1, 8, 'down'), Optimal Value: 107.965217
State: (1, 8, 'down'), Optimal Action: forward

State: (1, 8, 'left'), Optimal Value: 96.168613
State: (1, 8, 'left'), Optimal Action: left

State: (1, 8, 'right'), Optimal Value: 96.168613
State: (1, 8, 'right'), Optimal Action: right

State: (1, 9, 'up'), Optimal Value: 96.168613
State: (1, 9, 'up'), Optimal Action: right

State: (1, 9, 'down'), Optimal Value: 121.072462
State: (1, 9, 'down'), Optimal Action: forward

State: (1, 9, 'left'), Optimal Value: 107.965217
State: (1, 9, 'left'), Optimal Action: left

State: (1, 9, 'right'), Optimal Value: 107.965217
State: (1, 9, 'right'), Optimal Action: right

State: (1, 10, 'up'), Optimal Value: 107.965217
State: (1, 10, 'up'), Optimal Action: right

State: (1, 10, 'down'), Optimal Value: 135.636068
State: (1, 10, 'down'), Optimal Action: forward

State: (1, 10, 'left'), Optimal Value: 121.072462
State: (1, 10, 'left'), Optimal Action: left

State: (1, 10, 'right'), Optimal Value: 121.072462
State: (1, 10, 'right'), Optimal Action: right

State: (1, 11, 'up'), Optimal Value: 121.072462
State: (1, 11, 'up'), Optimal Action: right

State: (1, 11, 'down'), Optimal Value: 151.817852
State: (1, 11, 'down'), Optimal Action: forward

State: (1, 11, 'left'), Optimal Value: 135.636068
State: (1, 11, 'left'), Optimal Action: left

State: (1, 11, 'right'), Optimal Value: 135.636068
State: (1, 11, 'right'), Optimal Action: right

State: (1, 12, 'up'), Optimal Value: 135.636068
State: (1, 12, 'up'), Optimal Action: right

State: (1, 12, 'down'), Optimal Value: 169.797613
State: (1, 12, 'down'), Optimal Action: forward

State: (1, 12, 'left'), Optimal Value: 151.817852
State: (1, 12, 'left'), Optimal Action: left

State: (1, 12, 'right'), Optimal Value: 151.817852
State: (1, 12, 'right'), Optimal Action: right

State: (1, 13, 'up'), Optimal Value: 151.817852
State: (1, 13, 'up'), Optimal Action: right

