,Episode_No,Episode_Returns,Episode_Length
235,236.0,356.0025287819459,59.0
236,237.0,358.8367940662325,55.0
237,238.0,362.7568360857973,125.0
238,239.0,370.4592927557563,160.0
239,240.0,345.3892349924753,58.0
240,241.0,331.2802601916823,313.0
241,242.0,326.9576167832398,59.0
242,243.0,356.366396591465,185.0
243,244.0,358.8367940662325,55.0
244,245.0,360.5931873466926,181.0
245,246.0,352.0344988018668,57.0
246,247.0,330.4211664532015,63.0
247,248.0,358.8367940662325,55.0
248,249.0,301.09755673533573,61.0
249,250.0,322.0035435136837,91.0
250,251.0,358.8367940662325,55.0
251,252.0,355.4554535973784,57.0
252,253.0,366.33879509201046,133.0
253,254.0,358.8367940662325,55.0
254,255.0,370.066032680218,229.0
255,256.0,370.52161296032517,105.0
256,257.0,296.0397577689954,47.0
257,258.0,329.23195554314447,88.0
258,259.0,310.99053496962443,59.0
259,260.0,373.70622210752066,340.0
260,261.0,356.7193883748197,191.0
261,262.0,358.8367940662325,55.0
262,263.0,355.62564335978897,75.0
263,264.0,355.51035378978816,445.0
264,265.0,373.54392469269067,398.0
265,266.0,351.48199203101774,335.0
266,267.0,350.19601649612576,59.0
267,268.0,365.5640287812992,611.0
268,269.0,356.92697230754516,93.0
269,270.0,362.6074207276226,95.0
270,271.0,303.1408456790892,41.0
271,272.0,358.8367940662325,55.0
272,273.0,359.08767029228613,79.0
273,274.0,358.8367940662325,55.0
274,275.0,331.1638772541499,57.0
275,276.0,244.19139770320493,43.0
276,277.0,358.8367940662325,55.0
277,278.0,346.42285415173586,55.0
278,279.0,372.85498402792786,245.0
279,280.0,376.01449529644316,257.0
280,281.0,373.3643108140066,185.0
281,282.0,355.94770216013194,149.0
282,283.0,358.8367940662325,55.0
283,284.0,321.83167416470786,83.0
284,285.0,354.40484336053646,71.0
285,286.0,360.57837303646477,341.0
286,287.0,358.8367940662325,55.0
287,288.0,358.8367940662325,55.0
288,289.0,356.68130328166035,320.0
289,290.0,343.40616886626196,60.0
290,291.0,324.84991419035026,60.0
291,292.0,328.46703223643397,85.0
292,293.0,373.58649627674976,395.0
293,294.0,370.04629226633364,153.0
294,295.0,358.8367940662325,55.0
295,296.0,337.19660078531683,235.0
296,297.0,341.43920050567044,75.0
297,298.0,345.3816684283201,123.0
298,299.0,358.8367940662325,55.0
299,300.0,358.8367940662325,55.0
300,301.0,362.2891486154759,164.0
301,302.0,269.68135251562046,612.0
302,303.0,329.445959084069,79.0
303,304.0,375.18434978025164,145.0
304,305.0,356.02398639417146,57.0
305,306.0,334.6812745528308,269.0
306,307.0,358.8367940662325,55.0
