State: (7, 10, 'up'), Optimal Value: 121.072461
State: (7, 10, 'up'), Optimal Action: 3

State: (7, 10, 'down'), Optimal Value: 121.072461
State: (7, 10, 'down'), Optimal Action: 2

State: (7, 10, 'left'), Optimal Value: 135.636067
State: (7, 10, 'left'), Optimal Action: 1

State: (7, 10, 'right'), Optimal Value: 107.965216
State: (7, 10, 'right'), Optimal Action: 2

State: (8, 10, 'up'), Optimal Value: 107.965216
State: (8, 10, 'up'), Optimal Action: 3

State: (8, 10, 'down'), Optimal Value: 107.965216
State: (8, 10, 'down'), Optimal Action: 2

State: (8, 10, 'left'), Optimal Value: 121.072461
State: (8, 10, 'left'), Optimal Action: 1

State: (8, 10, 'right'), Optimal Value: 96.168695
State: (8, 10, 'right'), Optimal Action: 2

State: (9, 10, 'up'), Optimal Value: 96.168695
State: (9, 10, 'up'), Optimal Action: 3

State: (9, 10, 'down'), Optimal Value: 96.168695
State: (9, 10, 'down'), Optimal Action: 2

State: (9, 10, 'left'), Optimal Value: 107.965216
State: (9, 10, 'left'), Optimal Action: 1

State: (9, 10, 'right'), Optimal Value: 85.551752
State: (9, 10, 'right'), Optimal Action: 2

State: (10, 10, 'up'), Optimal Value: 85.551752
State: (10, 10, 'up'), Optimal Action: 3

State: (10, 10, 'down'), Optimal Value: 85.551752
State: (10, 10, 'down'), Optimal Action: 2

State: (10, 10, 'left'), Optimal Value: 96.168695
State: (10, 10, 'left'), Optimal Action: 1

State: (10, 10, 'right'), Optimal Value: 75.996577
State: (10, 10, 'right'), Optimal Action: 2

State: (1, 2, 'up'), Optimal Value: 85.551752
State: (1, 2, 'up'), Optimal Action: 2

State: (1, 2, 'down'), Optimal Value: 107.965216
State: (1, 2, 'down'), Optimal Action: 1

State: (1, 2, 'left'), Optimal Value: 96.168612
State: (1, 2, 'left'), Optimal Action: 3

State: (1, 2, 'right'), Optimal Value: 96.168612
State: (1, 2, 'right'), Optimal Action: 2

State: (1, 3, 'up'), Optimal Value: 96.168612
State: (1, 3, 'up'), Optimal Action: 2

State: (1, 3, 'down'), Optimal Value: 121.072461
State: (1, 3, 'down'), Optimal Action: 1

State: (1, 3, 'left'), Optimal Value: 107.965216
State: (1, 3, 'left'), Optimal Action: 3

State: (1, 3, 'right'), Optimal Value: 107.965216
State: (1, 3, 'right'), Optimal Action: 2

State: (1, 4, 'up'), Optimal Value: 107.965216
State: (1, 4, 'up'), Optimal Action: 2

State: (1, 4, 'down'), Optimal Value: 135.636067
State: (1, 4, 'down'), Optimal Action: 1

State: (1, 4, 'left'), Optimal Value: 121.072461
State: (1, 4, 'left'), Optimal Action: 3

State: (1, 4, 'right'), Optimal Value: 121.072461
State: (1, 4, 'right'), Optimal Action: 2

State: (1, 5, 'up'), Optimal Value: 121.072461
State: (1, 5, 'up'), Optimal Action: 2

State: (1, 5, 'down'), Optimal Value: 151.817852
State: (1, 5, 'down'), Optimal Action: 1

State: (1, 5, 'left'), Optimal Value: 135.636067
State: (1, 5, 'left'), Optimal Action: 3

State: (1, 5, 'right'), Optimal Value: 135.636067
State: (1, 5, 'right'), Optimal Action: 2

State: (1, 6, 'up'), Optimal Value: 135.636067
State: (1, 6, 'up'), Optimal Action: 2

State: (1, 6, 'down'), Optimal Value: 169.797695
State: (1, 6, 'down'), Optimal Action: 1

State: (1, 6, 'left'), Optimal Value: 151.817852
State: (1, 6, 'left'), Optimal Action: 3

State: (1, 6, 'right'), Optimal Value: 151.817852
State: (1, 6, 'right'), Optimal Action: 2

State: (1, 7, 'up'), Optimal Value: 151.817852
State: (1, 7, 'up'), Optimal Action: 2

State: (1, 7, 'down'), Optimal Value: 189.775216
State: (1, 7, 'down'), Optimal Action: 1

State: (1, 7, 'left'), Optimal Value: 169.797695
State: (1, 7, 'left'), Optimal Action: 3

State: (1, 7, 'right'), Optimal Value: 169.797695
State: (1, 7, 'right'), Optimal Action: 2

State: (1, 8, 'up'), Optimal Value: 169.797695
State: (1, 8, 'up'), Optimal Action: 2

State: (1, 8, 'down'), Optimal Value: 211.972461
State: (1, 8, 'down'), Optimal Action: 1

State: (1, 8, 'left'), Optimal Value: 189.775216
State: (1, 8, 'left'), Optimal Action: 3

State: (1, 8, 'right'), Optimal Value: 189.775216
State: (1, 8, 'right'), Optimal Action: 2

State: (1, 9, 'up'), Optimal Value: 189.775216
State: (1, 9, 'up'), Optimal Action: 2

State: (1, 9, 'down'), Optimal Value: 236.636067
State: (1, 9, 'down'), Optimal Action: 1

State: (1, 9, 'left'), Optimal Value: 211.972461
State: (1, 9, 'left'), Optimal Action: 3

State: (1, 9, 'right'), Optimal Value: 211.972461
State: (1, 9, 'right'), Optimal Action: 2

State: (10, 2, 'up'), Optimal Value: 30.985050
State: (10, 2, 'up'), Optimal Action: 1

State: (10, 2, 'down'), Optimal Value: 31.131846
State: (10, 2, 'down'), Optimal Action: 1

