Episode,Value Loss
1,0.26997286081314087
2,0.28311821818351746
3,0.3021477460861206
4,0.2697918713092804
5,0.3179425597190857
6,0.24231518805027008
7,0.28326210379600525
8,0.348704993724823
9,0.29488784074783325
10,0.328823447227478
11,0.4099993407726288
12,0.33160457015037537
13,0.2547128200531006
14,0.2833104431629181
15,0.4071142077445984
16,0.34132686257362366
17,0.21184095740318298
18,0.33007878065109253
19,0.33042871952056885
20,0.2831058204174042
21,0.28184863924980164
22,0.4103679060935974
23,0.3049733340740204
24,0.44989022612571716
25,0.18746677041053772
26,0.285104364156723
27,0.3407900035381317
28,0.3177049458026886
29,0.37564510107040405
30,0.35690808296203613
31,0.30166152119636536
32,0.26678788661956787
33,0.2582395374774933
34,0.39295318722724915
35,0.4220115542411804
36,0.3350263833999634
37,0.3632473051548004
38,0.40747833251953125
39,0.40608659386634827
40,0.38529908657073975
41,0.2387613207101822
42,0.2870938181877136
43,0.21151135861873627
44,0.43359076976776123
45,0.34004446864128113
46,0.35390034317970276
47,0.28297072649002075
48,0.44839227199554443
49,0.21393118798732758
50,0.24407099187374115
51,0.3328453302383423
52,0.3065258264541626
53,0.29427140951156616
54,0.4106992781162262
55,0.24788276851177216
56,0.31268808245658875
57,0.24008284509181976
58,0.2518613338470459
59,0.3378211259841919
60,0.43429169058799744
61,0.4354203939437866
62,0.3413139581680298
63,0.2776525020599365
64,0.18742747604846954
65,0.24442796409130096
66,0.22319728136062622
67,0.26889291405677795
68,0.2919926345348358
69,0.2116900086402893
70,0.35994404554367065
71,0.3171260356903076
72,0.2607501149177551
73,0.23485755920410156
74,0.22155457735061646
75,0.3036336302757263
76,0.44033876061439514
77,0.43676185607910156
78,0.22952431440353394
79,0.2630234658718109
80,0.2199162393808365
81,0.2614800035953522
82,0.19897055625915527
83,0.20352859795093536
84,0.24791087210178375
85,0.2145228236913681
86,0.19677609205245972
87,0.265212744474411
88,0.29790785908699036
89,0.2172510325908661
90,0.28103816509246826
91,0.23406094312667847
92,0.3657871186733246
93,0.38214439153671265
94,0.20267131924629211
95,0.24532882869243622
96,0.26106974482536316
97,0.25165167450904846
98,0.25978416204452515
99,0.22012954950332642
100,0.26003941893577576
101,0.19220948219299316
102,0.26854145526885986
103,0.2594800889492035
104,0.22472748160362244
105,0.22284811735153198
106,0.22345218062400818
107,0.1967988759279251
108,0.2082141488790512
109,0.4432075023651123
110,0.2389211654663086
111,0.19422543048858643
112,0.26809096336364746
113,0.2483004331588745
114,0.22456510365009308
115,0.20089103281497955
116,0.26336678862571716
117,0.2316352128982544
118,0.21931356191635132
119,0.32667598128318787
120,0.23427818715572357
121,0.2502507269382477
122,0.31617873907089233
123,0.3019520938396454
124,0.22614993155002594
125,0.2362438291311264
