Episode,Loss
1,0.7739105224609375
2,-0.1216278076171875
3,0.6205558776855469
4,-4.111522674560547
5,-2.788787841796875
6,6.724433898925781
7,-13.028461456298828
8,-10.483695983886719
9,7.258918762207031
10,16.863327026367188
11,-4.843290328979492
12,-9.989185333251953
13,-3.105741500854492
14,-3.853224754333496
15,-14.589420318603516
16,-4.237358093261719
17,-2.3903026580810547
18,26.263626098632812
19,16.428388595581055
20,-20.826324462890625
21,-5.608930587768555
22,16.808860778808594
23,-14.412996292114258
24,31.911304473876953
25,15.78079605102539
26,-4.555877685546875
27,-11.11492919921875
28,6.098911285400391
29,-0.30377197265625
30,-15.414562225341797
31,19.12392234802246
32,-5.566542625427246
33,7.230964660644531
34,7.257390022277832
35,-3.602935791015625
36,-5.2718658447265625
37,-2.834300994873047
38,14.011889457702637
39,-3.2330379486083984
40,5.890382766723633
41,-8.942583084106445
42,-14.233028411865234
43,-4.796295166015625
44,-0.7194061279296875
45,-0.9936370849609375
46,-1.32666015625
47,-3.787567138671875
48,5.49261474609375
49,10.813358306884766
50,-2.8160552978515625
51,5.28021240234375
52,-5.578632354736328
53,-13.164226531982422
54,9.69655990600586
55,-15.130950927734375
56,-10.17475700378418
57,8.357379913330078
58,-5.718326568603516
59,14.996582984924316
60,6.221469879150391
61,-2.2121925354003906
62,-6.495410919189453
63,-10.431884765625
64,6.08299446105957
65,-19.07643699645996
66,5.97650146484375
67,1.5614013671875
68,-6.229253768920898
69,17.928077697753906
70,-2.0726242065429688
71,1.0979251861572266
72,-13.674911499023438
73,-6.8082122802734375
74,-14.463603973388672
75,-11.967805862426758
76,-16.061975479125977
77,10.571098327636719
78,-24.501991271972656
79,2.488409996032715
80,-20.94158935546875
